日期,品类,候选价格,点值成本,加成率,加成分位位置,绝对售价分位位置,最近历史距离,是否在历史外圈,支持等级,说明
2023-07-01,花叶类,5.83,3.537450748619679,0.6480794827390541,0.26065063660280335,0.45106766306309865,0.3206094576199982,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-02,花叶类,5.83,3.537450748619679,0.6480794827390541,0.26065063660280335,0.45106766306309865,0.3206094576199982,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-03,花叶类,5.83,3.537450748619679,0.6480794827390541,0.26065063660280335,0.45106766306309865,0.3206094576199982,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-04,花叶类,5.83,3.537450748619679,0.6480794827390541,0.26065063660280335,0.45106766306309865,0.3206094576199982,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-05,花叶类,5.82,3.537450748619679,0.645252588257512,0.2575618958672084,0.4495703794396545,0.31574799013585136,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-06,花叶类,5.82,3.537450748619679,0.645252588257512,0.2575618958672084,0.4495703794396545,0.31574799013585136,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-07,花叶类,5.83,3.537450748619679,0.6480794827390541,0.26065063660280335,0.45106766306309865,0.3206094576199982,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-01,花菜类,12.24,7.7584639198680785,0.5776318774461897,0.4569516111689475,0.7145159555303545,0.1706294357266055,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-02,花菜类,12.71,7.779285005305723,0.6338262438426374,0.5203185554099097,0.7577432431916726,0.32997293214381374,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-03,花菜类,12.58,7.794900819383956,0.6138755696181157,0.4978214023637142,0.7457867593704569,0.2858991990922453,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-04,花菜类,12.37,7.806612679942631,0.5845540834608056,0.4647573588031151,0.72647243935157,0.21470316877817333,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-05,花菜类,12.32,7.815396575361637,0.5763755404094673,0.4555349168620449,0.7218737917280257,0.197751732989109,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-06,花菜类,12.44,7.821984496925892,0.5903892426390038,0.4713373103177103,0.7329105460245323,0.23843517888286397,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
2023-07-07,花菜类,12.46,7.826925438099083,0.5919405516946061,0.47308662649886163,0.7347500050739503,0.24521575319849032,否,强,同时检查加成、相似成本状态下的绝对售价、固定篮子覆盖和最近历史距离
